순천대학교,0,3949937
순천제일대학교,198000,5357975
순천향대학교,164000,7830448
숭실대학교,180000,7928397
숭실사이버대학교,99000,2772245
숭의여자대학교,218100,5646693
신경대학교,170000,6970514
신구대학교,260000,6549247
신라대학교,0,6749190
신성대학교,221100,6459316
신안산대학교,217800,6315695
신한대학교,193600,8714105
아신대학교,0,6569873
아주대학교,180000,8262018
아주자동차대학,223213,6345840
안동과학대학교,230000,5697929
안동대학교,0,3751169
안산대학교,234000,6004699
안양대학교,175000,7613447
여주대학교,230000,6645750
연성대학교,223005,6393403
연세대학교,195000,8949735
연암공과대학교,231000,5470000
연암대학교,219450,6100000
영남대학교,0,7458296
영남신학대학교,0,6166000
영남외국어대학,216233,5427809
영남이공대학교,244000,6114158
영산대학교,0,6562694
영산선학대학교,0,2000000
영진사이버대학교,66000,2160000
영진전문대학교,251000,6064740
예수대학교,0,6816094
예원예술대학교,0,8234556
오산대학교,240000,6559720
용인대학교,153000,7684117
용인예술과학대학교,234000,6800112
우석대학교,0,6938040
우송대학교,0,7214418
우송정보대학,168300,5917017
울산과학기술원,0,6200250
울산과학대학교,205000,6053708
울산대학교,0,7336868
웅지세무대학교,238900,6960000
원광대학교,0,7493094
원광디지털대학교,99000,2778487
원광보건대학교,214500,6131577
위덕대학교,0,7345657
유원대학교,0,7292323
유한대학교,215000,5973031
을지대학교,157800,8492904
이화여자대학교,189000,8689951
인덕대학교,259000,6449801
인제대학교,0,7261387
인천가톨릭대학교,0,7983712
인천대학교,0,4632119
인천재능대학교,219000,6295417
인하공업전문대학,269000,6640000
인하대학교,198000,7711149
장로회신학대학교,170000,6615167
장안대학교,255000,6241235
전남과학대학교,180000,5113803
전남대학교,0,4153106
전남도립대학교,0,1922412
전북과학대학교,169950,5342960
전북대학교,0,4415150
전주교육대학교,0,3324000
전주기전대학,181500,5986917
전주대학교,0,7015258
전주비전대학교,214500,5905558
정석대학,0,0
제주관광대학교,188000,4817710
제주국제대학교,0,5820828
제주대학교,0,3927230
제주한라대학교,175500,5057331
조선간호대학교,189750,5058000
조선대학교,0,7079317
조선이공대학교,235500,5490596
중부대학교,0,7209625
중앙대학교,196000,8114068
중앙승가대학교,0,1760000
중원대학교,0,7465722
진주교육대학교,0,3445600
진주보건대학교,198000,5868471
차의과학대학교,155000,7140845
창신대학교,0,6418037
창원대학교,0,3894143
창원문성대학교,188000,5713168
청강문화산업대학교,229000,6942773
청암대학교,182490,5320915
청운대학교,0,7319878
청주교육대학교,0,3282000
청주대학교,160000,7619476
초당대학교,0,6628419
총신대학교,176631,6918661
추계예술대학교,160000,8778884
춘천교육대학교,0,3185000
춘해보건대학교,202000,6066950
충남대학교,0,4361154
충남도립대학교,0,2454454
충북대학교,0,4273533
충북도립대학교,0,1868047
충북보건과학대학교,214500,6117895
충청대학교,214500,5808565
칼빈대학교,0,7568000
케이씨대학교,0,7104831
평택대학교,168000,7529229
포항공과대학교,0,5613500
포항대학교,165000,6060459
한경대학교,0,4045382
한국골프대학교,165000,7887500
한국공학대학교,0,9034616
한국과학기술원,0,6866000
한국관광대학교,227370,6181817
한국교원대학교,0,3180509
한국교통대학교,0,4108398
한국국제대학교,0,6436091
한국기술교육대학교,0,4516062
한국농수산대학(일반),0,0
한국방송통신대학교,0,760020
한국복지대학교,0,2727548
한국복지사이버대학,66000,2160000
한국성서대학교,0,7111110
한국승강기대학교,267300,6746000
한국에너지공과대학교,0,9000000
한국열린사이버대학교,82500,2161333
한국영상대학교,143753,6074388
한국예술종합학교,0,4806455
한국외국어대학교,198000,7129945
한국전통문화대학교(일반),0,3268786
한국체육대학교,0,3859657
한국침례신학대학교,0,6029732
한국폴리텍 I 대학 서울강서캠퍼스,0,2494000
한국폴리텍 I 대학 서울정수캠퍼스,0,2494000
한국폴리텍 I 대학 성남캠퍼스,0,2432000
한국폴리텍 I 대학 제주캠퍼스,0,2164000
한국폴리텍 II 대학 남인천캠퍼스,0,2494000
한국폴리텍 II 대학 인천캠퍼스,0,2494000
한국폴리텍 II 대학 화성캠퍼스,0,0
한국폴리텍 III 대학 강릉캠퍼스,0,2531500
한국폴리텍 III 대학 원주캠퍼스,0,2174000
한국폴리텍 III 대학 춘천캠퍼스,0,2432000
한국폴리텍 IV 대학 대전캠퍼스,0,2432000
한국폴리텍 IV 대학 아산캠퍼스,0,2432000
한국폴리텍 IV 대학 청주캠퍼스,0,2432000
한국폴리텍 IV 대학 홍성캠퍼스,0,2164000
한국폴리텍 V 대학 광주캠퍼스,0,2432000
한국폴리텍 V 대학 순천캠퍼스,0,0
한국폴리텍 V 대학 익산캠퍼스,0,2432000
한국폴리텍 V 대학 전남캠퍼스,0,2164000
한국폴리텍 V 대학 전북캠퍼스,0,2321000
한국폴리텍 VI 대학 구미캠퍼스,0,2432000
한국폴리텍 VI 대학 대구캠퍼스,0,2432000
